time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,total_transaction_cost,total_expenditure_hourly,trading_volume,biomass_volume,nat_grid_volume,trading_volume_elect,biomass_volume_elect,nat_grid_volume_elect,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
53,28045.933333333327,0.21666666666666667,28045.71666666666,0,0.062,0.062,0.6190000027418137,0,0,0,0,0,0,1,0,1,0,1,2,295975.9500000001,0.01375555561389774,,0.022222222222222223,0.044444444444444446,,,,,,,0,
54,32092.533333333336,47.81666666666666,32044.71666666667,0,0.062,0.062,0.6189999990165234,0,0,0,0,0,0,1,0,1,0,1,2,278614.7500000002,0.01375555555569008,,0.022222222222222223,0.044444444444444446,,,,,,,0,
55,39119.25,1436.5666666666664,37682.683333333334,0.024,0.058,0.137,1.4399999976158142,0.068,0.068,0,2776,2776,0,4,2,4,0,2,2,265202.8833333335,0.0319999999483116,,0.044444444444444446,0.044444444444444446,,,,,,,0,
56,41937.55000000001,24367.533333333333,17570.016666666677,0.046,0.05625,0.267,3.8080000020563602,1.137,1.137,0,24938,24938,0,8,4,8,0,4,2,288692.58333333343,0.08462222223170102,,0.08888888888888889,0.044444444444444446,,,,,,,0,
57,48087.15,58245.26666666665,-10158.116666666647,0,0.062,0.062,0.6189999990165234,0,0,0,0,0,0,1,0,1,0,1,2,290125.53333333344,0.01375555555569008,,0.022222222222222223,0.044444444444444446,,,,,,,0,
58,45602.24285714284,99035.47142857144,-53433.228571428604,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,297810.81190476194,0,,0,0.044444444444444446,,,,,,,0,
59,45815.53333333334,103705.16666666667,-57889.63333333333,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,299698.6785714287,0,,0,0.044444444444444446,,,,,,,0,
60,55877.016666666656,143206.66666666663,-87329.64999999997,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,302573.4285714287,0,,0,0.044444444444444446,,,,,,,0,
61,54157.51666666666,116489.26666666666,-62331.75,0,0.062,0.062,0.6190000027418137,0,0,0,0,0,0,1,0,1,0,1,2,296131.26190476195,0.01375555561389774,,0.022222222222222223,0.044444444444444446,,,,,,,0,
62,48402.36666666667,146248.43333333335,-97846.06666666668,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,297330.811904762,0,,0,0.044444444444444446,,,,,,,0,
63,50103.133333333346,113751.99166666664,-63648.85833333329,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,294758.0785714286,0,,0,0.044444444444444446,,,,,,,0,
64,46633.583333333314,59937.60000000001,-13304.0166666667,0.06,0.058,0.137,2.1639999970793724,0.791,0.791,0,13173,13173,0,4,2,4,0,2,2,296974.3452380953,0.04808888881234452,,0.044444444444444446,0.044444444444444446,,,,,,,0,
65,53939.516666666656,7161.583333333332,46777.93333333332,0.059,0.055375,0.527,8.417000003159046,3.152,3.152,0,53006,53006,0,16,8,16,0,8,2,319038.5619047622,0.18704444455215707,,0.17777777777777778,0.044444444444444446,,,,,,,0,
66,66890.04999999999,0,66890.04999999999,0.074,0.05472727272727273,1.4449999999999998,25.623999997973442,10.204,10.204,0.872,137921,137921,6000,46,23,45,1,22,2,443848.8119047621,0.569422222150024,,0.4888888888888889,0.044444444444444446,,,,,,,4.3478260869565215,
67,72458.03333333334,5.183333333333333,72452.85,0.05,0.055375,0.527,7.458999998867512,2.193,2.193,0,43618,43618,0,16,8,16,0,8,2,416831.3285714287,0.16575555555755273,,0.17777777777777778,0.044444444444444446,,,,,,,0,
68,61496.98333333334,0.8499999999999999,61496.13333333334,0.034,0.058,0.137,2.7240000031888485,0.384,0.384,0.872,11288,11288,6000,5,2,4,1,2,2,377999.56190476206,0.06053333339514211,,0.044444444444444446,0.044444444444444446,,,,,,,50,
69,52785.933333333334,0,52785.933333333334,0.052,0.05566666666666667,0.397,6.241999998688698,2.275,2.275,0,43732,43732,0,12,6,12,0,6,2,384961.94523809536,0.1387111110961996,,0.13333333333333333,0.044444444444444446,,,,,,,0,
70,36408.74999999999,0,36408.74999999999,0.061,0.05625,0.267,4.32599999755621,1.656,1.656,0,27134,27134,0,8,4,8,0,4,2,380520.3952380955,0.09613333328161389,,0.08888888888888889,0.044444444444444446,,,,,,,0,
71,30933.783333333336,0,30933.783333333336,0.048,0.0558,0.332,4.776999998837709,1.457,1.457,0,30473,30473,0,10,5,10,0,5,2,385055.67857142875,0.10615555552067235,,0.1111111111111111,0.044444444444444446,,,,,,,0,
72,27571.499999999996,0,27571.499999999996,0.059,0.057,0.203,2.9450000002980232,0.924,0.924,0,15758,15758,0,6,3,6,0,3,2,375139.3285714288,0.0654444444226101,3.755555555555555,0.06666666666666667,0.044444444444444446,1.8888888888888888,1.0666666666666667,1.7728888888377696,0.044444444444444446,0,26.563000000000002,0,
73,25021.250000000004,0.05,25021.200000000004,0.051,0.057,0.203,2.546000000089407,0.525,0.525,0,10342,10342,0,6,3,6,0,3,2,362141.5285714288,0.0565777777810581,,0.06666666666666667,0.044444444444444446,,,,,,,0,
