time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,biomass_volume,nat_grid_volume,trading_volume_elect,biomass_volume_elect,nat_grid_volume_elect,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
67,26303.75,4501.1,21802.65,0.034,0.05566666666666667,1.124,18.94,0,,33035,0,12,6,12,0,6,2,192878.84523809532,0.4436000000569038,,0.3,0.1,,,,,,,0,0
68,24343.616666666672,4347.900000000001,19995.71666666667,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,169116.161904762,0.2546499999589287,,0,0.1,,,,,,,0,0
69,22471.899999999994,3855.533333333333,18616.36666666666,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,146933.26190476195,0,,0.05,0.1,,,,,,,0,0
70,17123.25,2997.066666666667,14126.183333333332,0.057,0.05625,1.627,13.298,0,,28685,0,8,4,8,0,4,2,165553.06190476197,0.030950000043958426,,0.2,0.1,,,,,,,0,0
71,14834.916666666664,1590.9833333333331,13243.93333333333,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,151299.8952380953,0.21479999995790422,,0.05,0.1,,,,,,,0,0
72,13792.5,313.2833333333333,13479.216666666667,0.053,0.05625,1.187,10.306,0,,22418,0,8,4,8,0,4,2,171242.32857142866,0.030950000043958426,3.3,0.2,0.1,1.8,2.4,1.569199999968987,0.05,0,7.361999999999999,0,0
73,13125.133333333333,0.05,13125.083333333334,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,158117.24523809532,0.19294999993871897,,0.05,0.1,,,,,,,0,0
74,13927.016666666665,0,13927.016666666665,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,138525.16190476198,0.030949999985750765,,0.05,0.1,,,,,,,0,1
75,12274.18333333333,0,12274.18333333333,0,NaN,0,0,0.862,,0,6000,1,0,0,1,0,2,133381.26190476198,0.030950000043958426,,0,0.1,,,,,,,0,0
76,14002.016666666665,0,14002.016666666665,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,94890.81190476194,0.048349999997299165,,0.05,0.1,,,,,,,0,0
77,15685.066666666668,0,15685.066666666668,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,59018.76190476193,0.03089999995427206,,0,0.1,,,,,,,0,0
78,18115.616666666665,180.95,17934.666666666664,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,30384.495238095267,0,,0,0.1,,,,,,,0,0
79,21180.899999999998,2175.7999999999997,19005.1,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,16692.161904761913,0,,0,0.1,,,,,,,0,0
80,17150.233333333334,16773.616666666665,376.6166666666686,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,54494.59523809526,0,,0,0.1,,,,,,,0,0
81,17163.683333333334,36581.86666666667,-19418.183333333334,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,65532.428571428594,0,,0,0.1,,,,,,,0,0
82,19207.71666666666,54553.083333333336,-35345.366666666676,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,35449.86666666669,0,,0.05,0.1,,,,,,,0,0
83,19528.066666666662,67304.15,-47776.08333333333,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,15454.900000000016,0.030950000043958426,,0.05,0.1,,,,,,,0,0
84,20300.53333333333,73812.75,-53512.216666666674,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,3234.816666666672,0.0308999998960644,,0,0.1,,,,,,,0,0
85,13830.8,73446.81666666667,-59616.01666666666,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,5311.800000000006,0,,0,0.1,,,,,,,0,0
86,12780.7,69191.43333333333,-56410.73333333334,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,7699.400000000006,0,,0,0.1,,,,,,,0,0
87,13865.549999999997,55895.31666666665,-42029.766666666656,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,0,0,,0,0.1,,,,,,,0,0
88,15039.983333333334,30316.9,-15276.916666666668,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,11579.350000000002,0,,0,0.1,,,,,,,0,0
89,31005.86666666667,6889.6833333333325,24116.183333333334,0.029,0.058,0.366,4.649,0,,12420,0,4,2,4,0,2,2,114314.91190476199,0,,0.1,0.1,,,,,,,0,0
90,33636.78333333333,4501.599999999999,29135.183333333334,0.054,0.055,4.438,50.245,0,,82062,0,24,12,24,0,12,2,187151.62857142868,0.08690000011119992,,0.6,0.1,,,,,,,0,0
91,26029.516666666663,4509.883333333333,21519.63333333333,0.017,0.057,0.356,5.346,0,,21294,0,6,3,6,0,3,2,187324.7452380953,0.6149999999324791,,0.15,0.1,,,,,,,0,0
92,25053.11666666667,4256.3,20796.81666666667,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,162566.17857142864,0.11890000005951151,,0.05,0.1,,,,,,,0,0
93,19992.033333333333,3791.183333333333,16200.85,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,143032.8952380953,0.030950000043958426,,0.05,0.1,,,,,,,0,0
94,16186.883333333333,2924.9,13261.983333333334,0.053,0.057,1.006,11.35,0,,18837,0,6,3,6,0,3,2,147845.67857142864,0.030949999927543104,,0.15,0.1,,,,,,,0,0
95,14126.449999999995,1554.9833333333333,12571.466666666662,0.046,0.05625,1.265,10.13,0,,27476,0,8,4,8,0,4,2,166215.0952380953,0.1514000000897795,,0.2,0.1,,,,,,,0,0
96,12810.849999999999,316.99999999999994,12493.849999999999,0.04,0.05625,0.644,8.473,0,,16172,0,8,4,8,0,4,2,172700.41190476198,0.19675000000279397,3.1999999999999993,0.2,0.1,1.75,2.4,1.4300500000244938,0.05,0,8.618,0,0
97,14145.316666666664,0,14145.316666666664,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,161301.6452380953,0.1657499999855645,,0,0.1,,,,,,,0,0
98,15300.18333333333,0.4,15299.783333333331,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,147011.1452380953,0,,0.05,0.1,,,,,,,0,0
99,15630.23333333333,0,15630.23333333333,0,0.062,0,0,0.862,,0,6000,2,0,1,1,1,2,142079.56190476197,0.030950000043958426,,0.05,0.1,,,,,,,0,0
100,18543.13333333333,0,18543.13333333333,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,100237.13333333339,0.07929999998304993,,0,0.1,,,,,,,0,0
